Significant,-LOG(P-value),Difference,Protein IDs,Majority protein IDs,Protein names,Gene names,Potential contaminant,Peptides,Valid values,Valid values 60 min,Valid values unstim,60 min stim FG159 neu,60 min stim FG160 neu,60 min stim FG161 neu,60 min stim FG162 neu,unstim FG10 neu,unstim FG11 neu,unstim FG12 neu,unstim FG9 neu
+,2.451786102,2.301025152,P46978,P46978,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A,Stt3a,,7,8,4,4,15.24810028,15.65289974,16.09600067,16.72290039,13.89970016,12.74489975,13.34070015,14.53050041
+,2.282015992,1.086899996,P47738,P47738,"Aldehyde dehydrogenase, mitochondrial",Aldh2,,9,8,4,4,15.83880043,16.51910019,15.86139965,16.80599976,14.98079967,15.21679974,15.12660027,15.35350037
,0,NaN,P47740,P47740,Fatty aldehyde dehydrogenase,Aldh3a2,,2,4,4,0,12.48670006,15.01029968,13.06820011,13.43150043,NaN,NaN,NaN,NaN
+,3.702189588,2.217275143,P47753,P47753,F-actin-capping protein subunit alpha-1,Capza1,,9,8,4,4,22.65990067,23.66900063,23.33889961,23.62999916,20.96360016,21.27949905,20.76950073,21.41609955
+,2.359750404,1.661874771,P47754,P47754,F-actin-capping protein subunit alpha-2,Capza2,,14,8,4,4,21.97559929,23.58049965,22.70919991,23.2560997,20.9428997,21.16189957,21.20249939,21.5666008
+,2.535976397,1.387300014,P47757,P47757,F-actin-capping protein subunit beta,Capzb,,17,8,4,4,22.64640045,23.74799919,23.02709961,23.58410072,21.60700035,21.97970009,21.68289948,22.1868
,1.076679518,1.185475111,P47758,P47758,Signal recognition particle receptor subunit beta,Srprb,,9,8,4,4,15.59640026,17.78210068,16.48379898,16.55010033,15.3920002,15.61530018,16.18549919,14.47770023
,0,NaN,P47791,P47791,"Glutathione reductase, mitochondrial",Gsr,,3,4,4,0,13.56999969,13.54320049,12.62450027,13.46969986,NaN,NaN,NaN,NaN
+,3.038779806,-5.501116117,P47811,P47811,Mitogen-activated protein kinase 14,Mapk14,,5,7,3,4,11.2887001,NaN,12.2191,11.04600048,15.8913002,18.49309921,16.13290024,17.55889893
,0.2907509223,0.2591750622,P47856;Q9Z2Z9,P47856,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1,Gfpt1,,19,8,4,4,15.45149994,16.85309982,16.40270042,16.54999924,15.78009987,15.83320045,16.69949913,15.90779972
,1.246166606,0.6402997971,P47857,P47857,"ATP-dependent 6-phosphofructokinase, muscle type",Pfkm,,14,8,4,4,15.91969967,16.62960052,16.46999931,15.90759945,15.42580032,15.1704998,15.66839981,16.10099983
+,3.680024279,-1.743674278,P47911,P47911,60S ribosomal protein L6,Rpl6,,18,8,4,4,22.98060036,22.96660042,22.48180008,23.38570023,24.78100014,24.46509933,24.98769951,24.55559921
+,2.148644353,-4.446950197,P47915,P47915,60S ribosomal protein L29,Rpl29,,3,8,4,4,20.11870003,17.25880051,20.41040039,15.96519947,23.38750076,22.65859985,23.10350037,22.3913002
+,2.310019724,3.69115003,P47941,P47941,Crk-like protein,Crkl,,3,7,4,3,14.18270016,15.98050022,15.53919983,16.3321991,11.8277998,10.71339989,NaN,12.91129971
+,2.258990861,1.671349525,P47955,P47955,60S acidic ribosomal protein P1,Rplp1,,4,8,4,4,20.79649925,19.17259979,20.71249962,19.83449936,18.40329933,18.35700035,18.7112999,18.35910034
+,2.733265797,-1.470950127,P47962,P47962,60S ribosomal protein L5,Rpl5,,13,8,4,4,20.40180016,21.03969955,20.40449905,20.99069977,22.50959969,22.20779991,22.43689919,21.56620026
+,1.594372118,-1.386349678,P47963,P47963,60S ribosomal protein L13,Rpl13,,10,8,4,4,23.75909996,25.01819992,23.29870033,24.8071003,25.80529976,24.93889999,25.81119919,25.87310028
+,2.345832936,-1.651600361,P47964,P47964,60S ribosomal protein L36,Rpl36,,5,8,4,4,23.56279945,24.72159958,23.13439941,24.32060051,25.66640091,25.33119965,25.82869911,25.51950073
,0.2362786287,-0.2181522846,P48036,P48036,Annexin A5,Anxa5,,3,8,4,4,11.02009964,10.68272018,9.607600212,10.9222002,10.83129978,10.65359974,11.2507,10.36962986
,0.2718679191,0.2019750277,P48453;P48455,P48453,Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform,Ppp3cb,,6,7,4,3,14.18290043,14.42150021,14.50899982,14.12090015,14.77880001,13.82480049,NaN,13.71619987
,1.14428467,-0.7094497681,P48678,P48678,Prelamin-A/C;Lamin-A/C,Lmna,,36,8,4,4,16.91189957,18.12010002,16.82570076,17.57859993,18.04540062,17.76239967,18.17490005,18.291399
+,2.494950072,2.893799782,P48722,P48722,Heat shock 70 kDa protein 4L,Hspa4l,,15,6,4,2,14.39319992,15.78419971,14.85150051,15.32509995,NaN,NaN,12.05840015,12.33100033
+,2.413648822,-2.146275043,P48725,P48725,Pericentrin,Pcnt,,11,8,4,4,11.63189983,12.5781002,10.58010006,12.36600018,14.30900002,13.69400024,13.79150009,13.9467001
,0.2580201626,-0.6230998039,P48760,P48760,"Folylpolyglutamate synthase, mitochondrial",Fpgs,,1,8,4,4,10.0763998,13.13510036,14.61880016,11.6661005,12.5557003,13.16450024,12.92469978,13.34389973
+,4.152841176,-2.464949608,P48962;Q3V132,P48962,ADP/ATP translocase 1,Slc25a4,,17,8,4,4,17.1916008,18.22360039,18.20400047,17.72069931,20.18630028,20.15950012,20.45429993,20.39959908
+,1.922661008,-1.354867458,P49025,P49025,Citron Rho-interacting kinase,Cit,,11,8,4,4,11.22350025,10.4553299,11.7595005,12.07800007,12.64080048,12.46109962,13.11540031,12.71850014
,0.7776350694,0.6180002689,P49117,P49117,Nuclear receptor subfamily 2 group C member 2,Nr2c2,,3,7,4,3,11.36130047,12.66870022,11.71320057,12.06360054,NaN,11.01340008,11.78240013,11.20530033
+,3.03258477,-1.483749628,P49135,P49135,TFIIH basal transcription factor complex helicase XPB subunit,Ercc3,,24,8,4,4,15.04679966,15.16549969,15.73210049,15.52070045,16.69689941,16.39139938,17.1882,17.12360001
+,3.130620464,-1.560674667,P49312,P49312,"Heterogeneous nuclear ribonucleoprotein A1;Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed",Hnrnpa1,,20,8,4,4,21.06850052,21.74189949,21.55380058,22.22439957,23.13529968,23.24110031,23.3715992,23.08329964
+,1.47250562,-2.239983718,P49615,P49615,Cyclin-dependent-like kinase 5,Cdk5,,4,7,3,4,11.85159969,NaN,11.67749977,14.14659977,15.07719994,14.13300037,15.58839989,14.39560032
,0,NaN,P49710,P49710,Hematopoietic lineage cell-specific protein,Hcls1,,4,4,4,0,13.93010044,14.90789986,14.65709972,14.42269993,NaN,NaN,NaN,NaN
,0.8296071242,-0.3813004494,P49717,P49717,DNA replication licensing factor MCM4,Mcm4,,22,8,4,4,16.89859962,17.79769897,17.6651001,17.65939903,17.75860023,17.66289902,18.09670067,18.02779961
,2.249107948,-0.9305505753,P49718,P49718,DNA replication licensing factor MCM5,Mcm5,,42,8,4,4,19.27529907,19.61829948,20.19260025,19.44009972,20.6583004,20.32530022,20.50390053,20.76099968
,0,-1.711973667,P49722,P49722,Proteasome subunit alpha type-2,Psma2,,6,5,4,1,13.91120052,14.76860046,13.17689991,15.51140022,NaN,NaN,NaN,16.05399895
+,3.219867062,2.024399757,P49813;Q9JLH8,P49813,Tropomodulin-1,Tmod1,,15,8,4,4,21.16810036,22.03009987,21.6432991,21.49830055,19.64229965,19.50279999,18.93580055,20.16130066
+,2.813539972,-2.39419961,P49962,P49962,Signal recognition particle 9 kDa protein,Srp9,,2,8,4,4,14.62950039,15.02760029,14.29290009,15.16499996,16.09630013,17.86109924,17.60039902,17.13400078
,0,NaN,P50096,P50096,Inosine-5-monophosphate dehydrogenase 1,Impdh1,,4,4,4,0,10.28429985,11.7347002,12.39459991,12.49639988,NaN,NaN,NaN,NaN
,0,NaN,P50136,P50136,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial",Bckdha,,4,4,4,0,11.89850044,12.6942997,11.10280037,12.49660015,NaN,NaN,NaN,NaN
+,5.096459198,3.736274481,P50247,P50247,Adenosylhomocysteinase,Ahcy,,10,8,4,4,16.71920013,17.167799,16.25419998,16.78409958,13.48410034,12.64190006,13.0862999,12.76790047
,0,NaN,P50516,P50516,V-type proton ATPase catalytic subunit A,Atp6v1a,,13,4,4,0,16.23889923,16.98600006,16.77700043,16.68379974,NaN,NaN,NaN,NaN
+,1.926308562,-1.188625813,P50580,P50580,Proliferation-associated protein 2G4,Pa2g4,,10,8,4,4,16.11719894,16.88459969,16.11450005,17.21319962,18.11490059,17.86490059,17.85720062,17.24699974
,0.5307251509,0.5131247044,P51150,P51150,Ras-related protein Rab-7a,Rab7a,,8,8,4,4,16.43160057,17.24449921,16.30189896,17.57839966,15.65359974,16.02969933,16.79059982,17.03000069
+,2.635624449,-2.009699821,P51410,P51410,60S ribosomal protein L9,Rpl9,,8,8,4,4,21.39489937,21.73180008,22.83710098,22.94519997,24.32799911,24.0401001,24.20100021,24.37870026
+,1.048973898,-2.037739754,P51612,P51612,DNA repair protein complementing XP-C cells homolog,Xpc,,3,4,2,2,NaN,9.077589989,NaN,9.648230553,10.8125,11.98880005,NaN,NaN
,0.3368301912,0.5394576391,P51660,P51660,Peroxisomal multifunctional enzyme type 2;(3R)-hydroxyacyl-CoA dehydrogenase;Enoyl-CoA hydratase 2,Hsd17b4,,2,7,4,3,12.03890038,9.816789627,11.87820053,10.68650055,10.76000023,NaN,9.946920395,10.98999977
,0,0.7365748882,P51827,P51827,AF4/FMR2 family member 3,Aff3,,2,5,4,1,11.30990028,11.75489998,11.49020004,11.85010052,NaN,NaN,NaN,10.86470032
,0,NaN,P51829;P84309,P51829,Adenylate cyclase type 7,Adcy7,,5,4,4,0,12.31010056,13.67599964,13.0387001,13.20800018,NaN,NaN,NaN,NaN
,0,1.278725147,P51863,P51863,V-type proton ATPase subunit d 1,Atp6v0d1,,6,5,4,1,15.65509987,17.37199974,16.55719948,16.09740067,NaN,NaN,15.14169979,NaN
+,3.382248984,-2.168999672,P51881,P51881,"ADP/ATP translocase 2;ADP/ATP translocase 2, N-terminally processed",Slc25a5,,19,8,4,4,20.5,21.70229912,21.13570023,21.81119919,23.58569908,23.27149963,23.45809937,23.50989914
,0,NaN,P51912,P51912,Neutral amino acid transporter B(0),Slc1a5,,7,4,4,0,15.91529942,16.90460014,16.60989952,16.53680038,NaN,NaN,NaN,NaN
,0,-0.6802504063,P51943;Q61456,P51943,Cyclin-A2,Ccna2,,4,5,4,1,11.22889996,13.19919968,13.93370056,13.56719971,NaN,NaN,NaN,13.66250038
,0.6074058605,-1.856283188,P51949,P51949,CDK-activating kinase assembly factor MAT1,Mnat1,,2,5,3,2,NaN,10.87010002,14.33220005,12.44099998,NaN,14.30620003,14.50189972,NaN
+,3.817070091,-1.737100124,P52293,P52293,Importin subunit alpha-1,Kpna2,,13,8,4,4,16.23749924,16.88699913,16.49410057,17.1093998,18.23579979,18.47999954,18.54199982,18.41860008
,0.745394849,-0.4616749287,P52332,P52332,Tyrosine-protein kinase JAK1,Jak1,,17,8,4,4,15.30259991,14.80370045,15.91209984,15.21210003,15.95510006,15.21930027,15.75440025,16.14839935
,0.06864674915,-0.08415031433,P52431,P52431,DNA polymerase delta catalytic subunit,Pold1,,19,8,4,4,14.54469967,15.6274004,16.66449928,15.58549976,15.78789997,15.62930012,15.80200005,15.53950024
+,3.44410576,-3.180099487,P52432,P52432,DNA-directed RNA polymerases I and III subunit RPAC1,Polr1c,,9,8,4,4,14.11190033,14.37960052,15.48210049,15.87559986,17.98069954,18.02029991,18.48920059,18.07939911
+,4.500170523,-3.256399632,P52479,P52479,Ubiquitin carboxyl-terminal hydrolase 10,Usp10,,26,8,4,4,16.87400055,17.64220047,17.62680054,18.14349937,21.00740051,20.43989944,20.97550011,20.88929939
,0.5635110839,-0.4841504097,P52480;P53657,P52480,Pyruvate kinase PKM,Pkm,,26,8,4,4,19.22719955,20.59619904,19.83659935,20.61989975,20.80900002,19.99110031,20.42499924,20.99139977
+,1.329092091,1.503895044,P52633,P52633,Signal transducer and transcription activator 6,Stat6,,3,6,4,2,11.62100029,12.21469975,12.29139996,10.76809978,10.15456963,NaN,NaN,10.28524017
,0,1.746849775,P52734,P52734,"FYVE, RhoGEF and PH domain-containing protein 1",Fgd1,,6,5,4,1,12.92529964,13.41079998,14.90719986,12.88490009,NaN,11.78520012,NaN,NaN
+,1.545387859,1.419624805,P52912,P52912,Nucleolysin TIA-1,Tia1,,8,8,4,4,16.72579956,16.05369949,14.52190018,15.91969967,13.9847002,14.72609997,14.20199966,14.62979984
+,3.913354959,-2.647750854,P53026,P53026,60S ribosomal protein L10a,Rpl10a,,13,8,4,4,21.5970993,22.54529953,22.98769951,22.45859909,24.94490051,24.88240051,25.24440002,25.1079998
,0.2605882345,-0.7197248936,P53349,P53349,Mitogen-activated protein kinase kinase kinase 1,Map3k1,,11,8,4,4,10.70619965,14.34370041,15.11460018,15.73579979,14.39070034,14.66769981,14.71469975,15.0060997
+,3.164702373,6.591299534,P53564,P53564,Homeobox protein cut-like 1,Cux1,,34,6,4,2,18.16289902,17.46570015,18.69610023,16.65889931,11.49289989,NaN,NaN,10.81630039
,0,NaN,P53568,P53568,CCAAT/enhancer-binding protein gamma,Cebpg,,1,4,4,0,18.02619934,20.06550026,19.13579941,18.27300072,NaN,NaN,NaN,NaN
+,2.94110951,-2.76630044,P53569,P53569,CCAAT/enhancer-binding protein zeta,Cebpz,,29,8,4,4,14.63759995,14.08469963,12.60070038,14.39820004,16.78700066,16.30500031,16.90340042,16.79100037
,0.110718691,-0.08122444153,P53986,P53986,Monocarboxylate transporter 1,Slc16a1,,5,8,4,4,16.68190002,17.62030029,17.17720032,17.25900078,17.58959961,16.77869987,17.14570045,17.54929924
+,1.164954281,1.527899742,P53994,P53994,Ras-related protein Rab-2A,Rab2a,,5,8,4,4,14.86419964,16.24110031,14.81099987,15.71280003,14.03219986,14.13910007,12.24480057,15.10140038
+,2.8010479,-3.948839903,P53995,P53995,Anaphase-promoting complex subunit 1,Anapc1,,7,8,4,4,9.619700432,8.555880547,11.18729973,8.120360374,13.40670013,13.51650047,13.73180008,12.62360001
,1.976371846,-0.8170499802,P53996,P53996,Cellular nucleic acid-binding protein,Cnbp,,6,8,4,4,17.82959938,18.32740021,17.49909973,18.3628006,18.82670021,18.70219994,19.04929924,18.70890045
,0.5765746579,1.000850201,P54071,P54071,"Isocitrate dehydrogenase [NADP], mitochondrial",Idh2,,5,7,4,3,13.91950035,15.42630005,15.05580044,15.03180027,12.21350002,14.42599964,14.93300056,NaN
+,2.680908538,-1.518049717,P54103,P54103,"DnaJ homolog subfamily C member 2;DnaJ homolog subfamily C member 2, N-terminally processed",Dnajc2,,21,8,4,4,17.33390045,18.04059982,18.42609978,18.56679916,19.71629906,19.32729912,19.60980034,19.78619957
,0,NaN,P54116,P54116,Erythrocyte band 7 integral membrane protein,Stom,,9,4,4,0,16.69449997,16.81760025,17.87150002,16.87059975,NaN,NaN,NaN,NaN
,0,NaN,P54254,P54254,Ataxin-1,Atxn1,,2,4,0,4,NaN,NaN,NaN,NaN,15,15.21819973,15.53410053,15.35690022
+,2.313816499,1.831775427,P54276,P54276,DNA mismatch repair protein Msh6,Msh6,,12,8,4,4,15.22350025,14.9708004,14.59000015,16.16480064,12.80270004,13.54259968,13.25570011,14.02099991
+,1.554357958,-2.019165277,P54729,P54729,NEDD8 ultimate buster 1,Nub1,,9,8,4,4,11.83979988,10.53353977,13.19499969,12.93669987,13.60579967,14.7670002,13.47900009,14.72990036
,1.455763637,0.9450247288,P54775,P54775,26S protease regulatory subunit 6B,Psmc4,,7,8,4,4,17.125,17.95359993,17.16550064,17.16849899,16.33060074,15.71790028,17.10669899,16.47730064
+,1.883707362,1.18530035,P54822,P54822,Adenylosuccinate lyase,Adsl,,14,8,4,4,16.78590012,17.90379906,17.65340042,17.49200058,16.60790062,16.29299927,16.60829926,15.58469963
+,2.270082847,-1.50737524,P54823,P54823,Probable ATP-dependent RNA helicase DDX6,Ddx6,,22,8,4,4,18.89920044,20.33340073,19.20899963,19.99939919,21.03380013,20.82690048,21.25209999,21.35770035
+,2.526000454,-2.94045496,P55200,P55200,Histone-lysine N-methyltransferase 2A;MLL cleavage product N320;MLL cleavage product C180,Kmt2a,,10,6,2,4,NaN,7.962759972,NaN,9.002079964,11.57789993,11.10739994,11.03789997,11.96829987
,0.8045112082,-1.452633301,P55258;Q9DD03;P61028,P55258,Ras-related protein Rab-8A,Rab8a,,5,7,4,3,11.96730042,13.74480057,14.68690014,15.13500023,15.76710033,14.7052002,15.53610039,NaN
+,2.63201023,-3.469299793,P56135,P56135,"ATP synthase subunit f, mitochondrial",Atp5j2,,4,8,4,4,17.81069946,17.46870041,17.80179977,15.00119972,20.53109932,20.51889992,20.18560028,20.72399902
+,1.134653051,-4.054584742,P56183,P56183,Ribosomal RNA processing protein 1 homolog A,Rrp1,,9,8,4,4,14.23340034,15.94939995,7.44946003,13.09140015,16.9951992,16.1826992,17.57320023,16.1909008
+,4.282736497,4.468949556,P56399,P56399,Ubiquitin carboxyl-terminal hydrolase 5,Usp5,,12,8,4,4,16.01140022,14.77229977,15.06509972,16.15519905,10.5802002,11.18720055,11.74090004,10.61989975
,1.282374624,0.6768994331,P56480,P56480,"ATP synthase subunit beta, mitochondrial",Atp5b,,22,8,4,4,18.51059914,19.48169899,19.51379967,19.54669952,18.78310013,18.33009911,18.41720009,18.81480026
,1.522585033,-1.156774998,P56671,P56671,Myc-associated zinc finger protein,Maz,,2,6,2,4,12.44029999,NaN,12.81540012,NaN,14.30379963,13.59590054,13.95590019,13.28289986
+,4.442255383,-3.45822525,P56959,P56959,RNA-binding protein FUS,Fus,,12,8,4,4,20.30039978,21.3071003,20.04789925,21.17169952,24.26919937,24.10810089,24.25499916,24.02770042
,1.950602005,-0.6245498657,P56960,P56960,Exosome component 10,Exosc10,,37,8,4,4,17.66219902,18.02619934,17.29990005,17.96809959,18.28809929,18.28339958,18.42129898,18.46179962
,0,NaN,P57746,P57746,V-type proton ATPase subunit D,Atp6v1d,,3,4,4,0,14.11800003,15.12590027,15.24209976,13.37979984,NaN,NaN,NaN,NaN
,0.6319622866,-0.4056501389,P57776,P57776,Elongation factor 1-delta,Eef1d,,9,8,4,4,18.16189957,19.27079964,18.19079971,18.97480011,19.22940063,18.70269966,19.22830009,19.06049919
,0.8039077878,-0.3772754669,P57780,P57780,Alpha-actinin-4,Actn4,,56,8,4,4,21.11100006,22.01250076,21.51449966,21.97509956,21.89940071,21.87940025,22.05410004,22.28930092
+,3.013995367,-1.756150723,P57784,P57784,U2 small nuclear ribonucleoprotein A,Snrpa1,,10,8,4,4,20.72769928,21.20479965,21.93880081,21.62439919,23.04980087,22.81189919,23.41430092,23.24430084
,1.058488381,-0.9473750591,P58059,P58059,"28S ribosomal protein S21, mitochondrial",Mrps21,,2,8,4,4,15.35150051,16.79330063,15.21150017,16.71439934,16.95149994,16.96570015,17.42210007,16.52090073
,1.72560009,-0.7243247032,P58252,P58252,Elongation factor 2,Eef2,,45,8,4,4,19.55089951,20.34980011,20.26300049,20.43000031,21.02339935,20.70929909,20.6807003,21.07760048
+,3.02195718,6.699020624,P58281,P58281,"Dynamin-like 120 kDa protein, mitochondrial;Dynamin-like 120 kDa protein, form S1",Opa1,,16,6,4,2,15.27270031,15.71619987,16.2378006,16.00550079,10.25479984,7.963259697,NaN,NaN
,0.8104762979,-0.6452999115,P58334,P58334,Krueppel-like factor 16,Klf16,,2,8,4,4,16.49349976,17.84549904,17.7208004,17.30850029,17.44610023,17.90320015,18.66909981,17.93109894
,0,NaN,P58389,P58389,Serine/threonine-protein phosphatase 2A activator,Ppp2r4,,3,4,4,0,13.37969971,13.29969978,15.26490021,12.51179981,NaN,NaN,NaN,NaN
,0,NaN,P58462,P58462,Forkhead box protein P1,Foxp1,,1,4,4,0,10.92809963,11.09440041,10.33460045,11.37919998,NaN,NaN,NaN,NaN
,0,NaN,P58466;P58465,P58466;P58465,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1;CTD small phosphatase-like protein,Ctdsp1;Ctdspl,,2,4,4,0,15.19709969,16.26040077,14.75810051,15.80700016,NaN,NaN,NaN,NaN
+,4.540361677,-4.40857482,P58468,P58468,Protein FAM207A,Fam207a,,8,8,4,4,14.48340034,16.10759926,14.74499989,15.55500031,19.90579987,19.34549904,19.67510033,19.59889984
,0.2809083536,0.2898504734,P58501,P58501,PAX3- and PAX7-binding protein 1,Paxbp1,,14,8,4,4,15.1675005,14.81360054,16.20750046,15.95510006,15.66720009,14.67669964,14.87090015,15.76949978
+,2.224972058,4.647899151,P58771,P58771,Tropomyosin alpha-1 chain,Tpm1,,12,6,4,2,20.56749916,21.2465992,19.45179939,20.58749962,NaN,16.90850067,NaN,14.72239971
+,1.622401167,2.41432476,P58854,P58854,Gamma-tubulin complex component 3,Tubgcp3,,10,8,4,4,14.35830021,14.47679996,16.46319962,16.04820061,11.20950031,13.87660027,13.56850052,13.03460026
,0.3623077747,0.4253745079,P58871,P58871,182 kDa tankyrase-1-binding protein,Tnks1bp1,,9,8,4,4,11.42749977,13.74230003,12.60229969,12.57089996,11.89080048,12.68739986,12.15350056,11.90980053
+,2.629846063,2.375175397,P59108;Q9Z140;Q8BLR2;Q0VE82;Q9DC53;Q8JZW4,P59108,Copine-2,Cpne2,,7,7,4,3,14.64319992,15.58590031,15.61190033,15.31010056,13.67560005,12.61019993,12.45199966,NaN
,0,-0.04553286235,P59240,P59240,Nephrocystin-4,Nphp4,,4,4,3,1,11.40690041,NaN,12.70149994,11.08030033,NaN,NaN,NaN,11.77509975
,0,NaN,P59279,P59279,Ras-related protein Rab-2B,Rab2b,,4,4,4,0,11.58110046,13.82499981,11.66820049,12.18249989,NaN,NaN,NaN,NaN
,0.2281644688,-0.9315750599,P59325,P59325,Eukaryotic translation initiation factor 5,Eif5,,3,6,4,2,9.705900192,14.61999989,12.74289989,13.46609974,14.01659966,NaN,13.11400032,NaN
+,3.61479267,-2.139550209,P59326,P59326,YTH domain-containing family protein 1,Ythdf1,,12,8,4,4,17.25830078,18.27319908,17.41530037,17.80999947,19.97410011,19.36120033,20.04859924,19.93110085
,0,NaN,P59328,P59328,WD repeat and HMG-box DNA-binding protein 1,Wdhd1,,4,4,0,4,NaN,NaN,NaN,NaN,11.96969986,14.23980045,15.02149963,14.52610016
+,2.848819829,-4.07524991,P59470,P59470,DNA-directed RNA polymerase III subunit RPC2,Polr3b,,4,6,2,4,NaN,9.295700073,NaN,9.447199821,14.21829987,12.95899963,13.82870007,12.78079987
,0,NaN,P59481,P59481,VIP36-like protein,Lman2l,,1,4,4,0,10.54539967,11.01410007,9.662099838,11.66009998,NaN,NaN,NaN,NaN
,1.553208355,-0.9535751343,P59708,P59708,Splicing factor 3B subunit 6,Sf3b6,,3,8,4,4,17.46909904,18.35910034,17.11789894,18.03120041,18.17510033,18.84729958,18.78520012,18.98399925
,0,NaN,P59913,P59913,Protein-L-isoaspartate O-methyltransferase domain-containing protein 1,Pcmtd1,,2,4,4,0,12.70489979,14.17500019,12.42090034,14.47000027,NaN,NaN,NaN,NaN
+,5.63942661,3.791899681,P59999,P59999,Actin-related protein 2/3 complex subunit 4,Arpc4,,10,8,4,4,24.74850082,25.32449913,25.53059959,25.28580093,21.14360046,21.38540077,21.37829971,21.81450081
